ID,Distance,Path
005 069,2,"['005', '001', '069']"
005 070,2,"['005', '001', '070']"
005 071,2,"['005', '001', '071']"
005 072,3,"['005', '001', '004', '072']"
005 073,2,"['005', '001', '073']"
005 074,2,"['005', '001', '074']"
005 075,2,"['005', '001', '075']"
005 076,2,"['005', '001', '076']"
005 077,2,"['005', '001', '077']"
005 078,2,"['005', '001', '078']"
005 079,2,"['005', '001', '079']"
005 080,2,"['005', '001', '080']"
005 081,2,"['005', '001', '081']"
005 082,2,"['005', '001', '082']"
005 083,2,"['005', '001', '083']"
005 084,2,"['005', '001', '084']"
005 085,3,"['005', '001', '009', '085']"
005 086,2,"['005', '001', '086']"
005 087,2,"['005', '001', '087']"
005 088,2,"['005', '001', '088']"
005 089,2,"['005', '001', '089']"
005 090,2,"['005', '001', '090']"
005 091,2,"['005', '001', '091']"
005 092,2,"['005', '001', '092']"
005 093,2,"['005', '001', '093']"
005 094,2,"['005', '001', '094']"
005 095,2,"['005', '001', '095']"
005 096,3,"['005', '001', '004', '096']"
005 097,3,"['005', '001', '004', '097']"
005 098,2,"['005', '003', '098']"
005 099,2,"['005', '003', '099']"
005 100,2,"['005', '003', '100']"
005 101,2,"['005', '003', '101']"
005 102,2,"['005', '003', '102']"
005 103,2,"['005', '001', '103']"
005 104,2,"['005', '001', '104']"
005 105,2,"['005', '001', '105']"
005 106,2,"['005', '001', '106']"
005 107,2,"['005', '001', '107']"
005 108,2,"['005', '001', '108']"
005 109,2,"['005', '001', '109']"
005 110,2,"['005', '001', '110']"
005 111,2,"['005', '001', '111']"
005 112,2,"['005', '001', '112']"
005 113,2,"['005', '001', '113']"
005 114,2,"['005', '001', '114']"
006 001,1,"['006', '001']"
006 002,2,"['006', '001', '002']"
006 003,1,"['006', '003']"
006 004,2,"['006', '001', '004']"
006 005,1,"['006', '005']"
006 006,0,['006']
006 007,2,"['006', '001', '007']"
006 008,2,"['006', '001', '008']"
006 009,2,"['006', '001', '009']"
006 010,2,"['006', '001', '010']"
006 011,2,"['006', '001', '011']"
006 012,2,"['006', '001', '012']"
006 013,2,"['006', '001', '013']"
006 014,3,"['006', '001', '004', '014']"
006 015,2,"['006', '001', '015']"
006 016,2,"['006', '001', '016']"
006 017,2,"['006', '001', '017']"
006 018,2,"['006', '001', '018']"
006 019,2,"['006', '001', '019']"
006 020,2,"['006', '001', '020']"
006 021,2,"['006', '001', '021']"
006 022,2,"['006', '001', '022']"
006 023,2,"['006', '001', '023']"
006 024,2,"['006', '001', '024']"
006 025,2,"['006', '001', '025']"
006 026,2,"['006', '001', '026']"
006 027,2,"['006', '001', '027']"
006 028,2,"['006', '001', '028']"
006 029,2,"['006', '001', '029']"
006 030,2,"['006', '001', '030']"
006 031,2,"['006', '001', '031']"
006 032,2,"['006', '001', '032']"
006 033,2,"['006', '001', '033']"
006 034,2,"['006', '001', '034']"
006 035,2,"['006', '001', '035']"
